#time,current,voltage,power,charge,energy
0.0,0.785476,5.09867,4.00486,0,0
0.5,0.786158,5.09863,4.0083,0.393079,2.00415
1.0,0.78721,5.09856,4.01361,0.786684,4.01096
1.5,0.784751,5.09865,4.00115,1.17906,6.01153
2.0,0.786471,5.09859,4.00987,1.57229,8.01647
2.5,0.786563,5.09861,4.01036,1.96558,10.0216
3.0,0.786239,5.09854,4.00865,2.3587,12.026
3.5,0.787025,5.09854,4.01266,2.75221,14.0323
4.0,0.785786,5.09857,4.00637,3.1451,16.0355
4.5,0.787197,5.09849,4.01349,3.5387,18.0422
5.0,0.786602,5.09852,4.01048,3.932,20.0475
5.5,0.786961,5.09846,4.01227,4.32548,22.0536
6.0,0.787718,5.09841,4.01609,4.71934,24.0616
6.5,0.786104,5.0985,4.00793,5.11239,26.0656
7.0,0.787336,5.09846,4.01418,5.50606,28.0727
7.5,0.786635,5.09846,4.0106,5.89938,30.078
8.0,0.786801,5.09838,4.01139,6.29278,32.0837
8.5,0.787703,5.09833,4.01595,6.68663,34.0917
9.0,0.786323,5.09841,4.00897,7.07979,36.0962
9.5,0.787341,5.09838,4.01414,7.47346,38.1032
10.0,0.786754,5.09843,4.01119,7.86684,40.1088
10.5,0.786907,5.0984,4.01195,8.26029,42.1148
11.0,0.787693,5.09832,4.01589,8.65414,44.1227
11.5,0.78628,5.09842,4.00877,9.04728,46.1271
12.0,0.787271,5.0984,4.01381,9.44091,48.134
12.5,0.786623,5.09847,4.01055,9.83423,50.1393
13.0,0.786879,5.09837,4.01178,10.2277,52.1452
13.5,0.787809,5.09834,4.0165,10.6216,54.1534
14.0,0.78624,5.09841,4.00855,11.0147,56.1577
14.5,0.78747,5.09839,4.01481,11.4084,58.1651
15.0,0.786848,5.09842,4.01166,11.8018,60.171
15.5,0.787006,5.0984,4.01245,12.1954,62.1772
16.0,0.787749,5.09837,4.01621,12.5892,64.1853
16.5,0.786224,5.09839,4.00846,12.9823,66.1895
17.0,0.787307,5.09839,4.01397,13.376,68.1965
17.5,0.786596,5.09835,4.01032,13.7693,70.2017
18.0,0.787024,5.09833,4.01249,14.1628,72.2079
18.5,0.787789,5.09826,4.01633,14.5567,74.2161
19.0,0.786373,5.09834,4.00918,14.9499,76.2207
19.5,0.787483,5.09829,4.0148,15.3436,78.2281
20.0,0.786842,5.09834,4.01157,15.737,80.2338
20.5,0.787158,5.09834,4.01318,16.1306,82.2404
21.0,0.787743,5.09822,4.01607,16.5245,84.2485
21.5,0.786186,5.09828,4.00817,16.9176,86.2526
22.0,0.787516,5.09819,4.01488,17.3113,88.26
22.5,0.786788,5.09828,4.01124,17.7047,90.2656
23.0,0.786969,5.09827,4.01216,18.0982,92.2717
23.5,0.788047,5.0982,4.0176,18.4922,94.2805
24.0,0.786423,5.09829,4.00939,18.8855,96.2852
24.5,0.78756,5.09826,4.01517,19.2792,98.2928
25.0,0.786844,5.09828,4.01153,19.6727,100.299
25.5,0.787083,5.09827,4.01274,20.0662,102.305
26.0,0.787872,5.09829,4.01678,20.4601,104.313
26.5,0.786281,5.09835,4.00872,20.8533,106.318
27.0,0.787451,5.09829,4.01463,21.247,108.325
27.5,0.786767,5.09832,4.01117,21.6404,110.331
28.0,0.787094,5.09831,4.01283,22.0339,112.337
28.5,0.787909,5.09827,4.01695,22.4279,114.345
29.0,0.786408,5.0983,4.00932,22.8211,116.35
29.5,0.787717,5.09826,4.01596,23.215,118.358
30.0,0.78692,5.09827,4.01191,23.6084,120.364
30.5,0.787026,5.09829,4.01247,24.0019,122.37
31.0,0.78796,5.09817,4.01713,24.3959,124.379
31.5,0.786389,5.09828,4.00921,24.7891,126.383
32.0,0.787654,5.09814,4.01555,25.1829,128.391
32.5,0.786942,5.09816,4.01193,25.5764,130.397
33.0,0.78728,5.09814,4.01364,25.97,132.404
33.5,0.788085,5.09805,4.01767,26.3641,134.413
34.0,0.786623,5.09817,4.01032,26.7574,136.418
34.5,0.787784,5.09808,4.01617,27.1513,138.426
35.0,0.786894,5.09806,4.01161,27.5447,140.432
35.5,0.78722,5.09805,4.01326,27.9383,142.439
36.0,0.787963,5.09805,4.01705,28.3323,144.447
36.5,0.786427,5.09811,4.00927,28.7255,146.452
37.0,0.787835,5.09809,4.01643,29.1195,148.46
37.5,0.786996,5.09816,4.01221,29.513,150.466
38.0,0.787203,5.09813,4.01325,29.9066,152.473
38.5,0.788194,5.09808,4.01826,30.3007,154.482
39.0,0.786597,5.09817,4.01019,30.694,156.487
39.5,0.787787,5.09808,4.01618,31.0878,158.495
40.0,0.786858,5.09809,4.01145,31.4813,160.501
40.5,0.787165,5.09811,4.01303,31.8749,162.507
41.0,0.787959,5.09803,4.01702,32.2688,164.516
41.5,0.786589,5.09807,4.01006,32.6621,166.521
42.0,0.787803,5.09804,4.01623,33.056,168.529
42.5,0.78697,5.09808,4.01201,33.4495,170.535
43.0,0.787317,5.09808,4.01379,33.8432,172.542
43.5,0.788123,5.09804,4.01786,34.2372,174.551
44.0,0.78658,5.09806,4.01001,34.6305,176.556
44.5,0.787899,5.09801,4.0167,35.0245,178.564
45.0,0.786947,5.09809,4.01191,35.4179,180.57
45.5,0.787111,5.09812,4.01276,35.8115,182.576
46.0,0.788013,5.09808,4.01733,36.2055,184.585
46.5,0.786644,5.09812,4.01038,36.5988,186.59
