#time,current,voltage,power,charge,energy
0.0,0.580112,5.13387,2.9782,0,0
0.5,0.576377,5.13401,2.95909,0.288188,1.47954
1.0,0.457126,5.14009,2.34966,0.516752,2.65437
1.5,0.458116,5.14005,2.35472,0.74581,3.83173
2.0,0.457085,5.14009,2.34944,0.974352,5.00645
2.5,0.456772,5.1401,2.34784,1.20274,6.18037
3.0,0.458476,5.13998,2.35654,1.43198,7.35864
3.5,0.448407,5.14044,2.30497,1.65618,8.51112
4.0,0.373415,5.14414,1.92088,1.84289,9.47157
4.5,0.372591,5.14417,1.91665,2.02918,10.4299
5.0,0.374788,5.1441,1.92793,2.21658,11.3939
5.5,0.372814,5.14416,1.9178,2.40298,12.3528
6.0,0.372825,5.14418,1.91786,2.5894,13.3117
6.5,0.373474,5.14416,1.92119,2.77613,14.2723
7.0,0.372916,5.14421,1.91834,2.96259,15.2315
7.5,0.375072,5.14406,1.92937,3.15013,16.1961
8.0,0.372916,5.14418,1.91833,3.33659,17.1553
8.5,0.37322,5.14414,1.91988,3.5232,18.1152
9.0,0.373015,5.14414,1.91882,3.7097,19.0747
9.5,0.374594,5.144,1.9269,3.897,20.0381
10.0,0.373186,5.14403,1.91967,4.08359,20.9979
10.5,0.373009,5.14409,1.91878,4.2701,21.9573
11.0,0.373476,5.14408,1.92118,4.45684,22.9179
11.5,0.373068,5.14409,1.91908,4.64337,23.8775
12.0,0.375531,5.14387,1.93166,4.83113,24.8433
12.5,0.373047,5.144,1.91893,5.01766,25.8028
13.0,0.373205,5.14399,1.91974,5.20426,26.7626
13.5,0.373153,5.144,1.91948,5.39084,27.7224
14.0,0.375258,5.14385,1.93025,5.57847,28.6875
14.5,0.373323,5.144,1.92036,5.76513,29.6477
15.0,0.373313,5.144,1.92031,5.95178,30.6078
15.5,0.373633,5.14401,1.92196,6.1386,31.5688
16.0,0.37307,5.14404,1.91907,6.32514,32.5283
16.5,0.37583,5.14387,1.93321,6.51305,33.4949
17.0,0.373096,5.14405,1.91921,6.6996,34.4545
17.5,0.373413,5.14402,1.92082,6.8863,35.415
18.0,0.373485,5.14397,1.92118,7.07305,36.3755
18.5,0.375137,5.14388,1.92964,7.26062,37.3404
19.0,0.373655,5.14394,1.92204,7.44744,38.3014
19.5,0.373207,5.14396,1.91974,7.63405,39.2613
20.0,0.373738,5.1439,1.92246,7.82092,40.2225
20.5,0.373249,5.14391,1.91994,8.00754,41.1825
21.0,0.375295,5.14382,1.93043,8.19519,42.1477
21.5,0.373489,5.14392,1.92118,8.38193,43.1083
22.0,0.373359,5.14391,1.92051,8.56861,44.0685
22.5,0.373853,5.14389,1.92304,8.75554,45.03
23.0,0.375098,5.14385,1.92943,8.94309,45.9948
23.5,0.373699,5.14389,1.92225,9.12994,46.9559
24.0,0.373306,5.14389,1.92023,9.31659,47.916
24.5,0.373518,5.14393,1.92133,9.50335,48.8767
25.0,0.373636,5.14392,1.92194,9.69017,49.8376
25.5,0.375419,5.14384,1.93108,9.87788,50.8032
