#time,current,voltage,power,charge,energy
0.0,0.0188742,5.16621,0.0975073,0,0
0.5,0.0188697,5.16618,0.0974835,0.00943484,0.0487418
1.0,0.0188638,5.16612,0.0974518,0.0188667,0.0974676
1.5,0.0188713,5.16611,0.0974905,0.0283024,0.146213
2.0,0.0188747,5.16616,0.0975094,0.0377397,0.194968
2.5,0.0188727,5.16614,0.0974985,0.0471761,0.243717
3.0,0.0188738,5.1661,0.097503,0.056613,0.292468
3.5,0.0188754,5.16609,0.0975116,0.0660507,0.341224
4.0,0.0188785,5.16607,0.0975274,0.07549,0.389988
4.5,0.0188752,5.16607,0.0975103,0.0849276,0.438743
5.0,0.0188752,5.16603,0.0975094,0.0943652,0.487498
5.5,0.0188761,5.16604,0.0975141,0.103803,0.536255
6.0,0.0188767,5.16602,0.0975167,0.113242,0.585013
6.5,0.0188797,5.166,0.097532,0.122681,0.633779
7.0,0.0188833,5.166,0.0975504,0.132123,0.682554
7.5,0.0188819,5.166,0.0975432,0.141564,0.731326
8.0,0.0188767,5.16597,0.0975156,0.151002,0.780084
8.5,0.0188754,5.16596,0.0975088,0.16044,0.828838
9.0,0.018875,5.16594,0.0975066,0.169878,0.877591
9.5,0.0188709,5.16593,0.0974851,0.179313,0.926334
10.0,0.018871,5.16592,0.0974854,0.188749,0.975077
10.5,0.0188715,5.16593,0.0974881,0.198184,1.02382
11.0,0.0188703,5.16592,0.0974819,0.207619,1.07256
11.5,0.0188771,5.1659,0.0975167,0.217058,1.12132
12.0,0.0188778,5.16591,0.0975203,0.226497,1.17008
12.5,0.0188742,5.16591,0.097502,0.235934,1.21883
13.0,0.0188761,5.1659,0.0975116,0.245372,1.26759
13.5,0.0188767,5.16589,0.0975142,0.25481,1.31634
14.0,0.0188746,5.16589,0.0975034,0.264248,1.3651
14.5,0.0188747,5.16588,0.0975038,0.273685,1.41385
15.0,0.0188754,5.16581,0.0975062,0.283123,1.4626
15.5,0.0188663,5.16578,0.0974586,0.292556,1.51133
16.0,0.0188667,5.1658,0.0974613,0.301989,1.56006
16.5,0.0188767,5.16578,0.0975122,0.311428,1.60882
17.0,0.0188754,5.16582,0.0975062,0.320865,1.65757
17.5,0.0188739,5.1658,0.097498,0.330302,1.70632
18.0,0.0188781,5.16577,0.0975194,0.339741,1.75508
18.5,0.0188788,5.16576,0.0975227,0.349181,1.80384
19.0,0.0188804,5.16576,0.0975313,0.358621,1.85261
19.5,0.0188776,5.16576,0.0975162,0.36806,1.90136
20.0,0.0188736,5.16575,0.0974959,0.377496,1.95011
20.5,0.0188778,5.16575,0.0975171,0.386935,1.99887
21.0,0.0188765,5.16573,0.0975102,0.396374,2.04763
21.5,0.0188718,5.16574,0.0974862,0.40581,2.09637
22.0,0.0188729,5.16573,0.0974917,0.415246,2.14511
22.5,0.0188767,5.16575,0.0975116,0.424684,2.19387
23.0,0.0188789,5.16571,0.0975224,0.434124,2.24263
23.5,0.0188693,5.16565,0.0974717,0.443558,2.29137
24.0,0.0188731,5.16564,0.0974912,0.452995,2.34011
24.5,0.0188749,5.16567,0.097501,0.462432,2.38886
25.0,0.0188761,5.16569,0.0975075,0.47187,2.43762
25.5,0.0188751,5.16566,0.0975019,0.481308,2.48637
26.0,0.0188721,5.16565,0.0974862,0.490744,2.53511
26.5,0.0188669,5.16565,0.0974594,0.500178,2.58384
27.0,0.0188655,5.16565,0.0974516,0.50961,2.63257
27.5,0.0188662,5.16564,0.0974553,0.519043,2.68129
28.0,0.0188703,5.16562,0.097476,0.528479,2.73003
28.5,0.0188551,5.16562,0.0973976,0.537906,2.77873
29.0,0.0188551,5.16565,0.0973981,0.547334,2.82743
29.5,0.0188619,5.1656,0.0974323,0.556765,2.87615
30.0,0.0188676,5.16562,0.0974621,0.566198,2.92488
30.5,0.0188712,5.16559,0.09748,0.575634,2.97362
31.0,0.0188676,5.16559,0.0974619,0.585068,3.02235
31.5,0.0188679,5.16555,0.0974625,0.594502,3.07108
32.0,0.0188673,5.16554,0.0974593,0.603935,3.11981
32.5,0.0188688,5.16553,0.097467,0.61337,3.16854
33.0,0.0188672,5.16549,0.0974578,0.622803,3.21727
33.5,0.0188718,5.16547,0.0974813,0.632239,3.26601
34.0,0.0188716,5.1655,0.0974806,0.641675,3.31475
34.5,0.0188688,5.16551,0.0974666,0.651109,3.36349
35.0,0.0188682,5.16549,0.0974626,0.660544,3.41222
35.5,0.0188682,5.16551,0.0974631,0.669978,3.46095
36.0,0.0188706,5.16553,0.0974761,0.679413,3.50969
36.5,0.0188707,5.16549,0.0974759,0.688848,3.55842
37.0,0.0188719,5.16545,0.0974815,0.698284,3.60717
37.5,0.0188702,5.16546,0.0974724,0.707719,3.6559
38.0,0.0188701,5.16548,0.0974724,0.717154,3.70464
38.5,0.0188701,5.16548,0.0974724,0.726589,3.75337
39.0,0.0188738,5.16549,0.0974919,0.736026,3.80212
