#time,current,voltage,power,charge,energy
0.0,0.0309497,5.16167,0.159747,0,0
0.5,0.0309656,5.16168,0.159829,0.0154828,0.0799145
1.0,0.0303843,5.16171,0.156832,0.030675,0.15833
1.5,0.0303491,5.16171,0.15665,0.0458495,0.236655
2.0,0.0303315,5.16173,0.15656,0.0610153,0.314936
2.5,0.0304188,5.16175,0.157011,0.0762247,0.393441
3.0,0.0303583,5.16172,0.156698,0.0914038,0.47179
3.5,0.030399,5.16169,0.156907,0.106603,0.550243
4.0,0.0303282,5.16172,0.156543,0.121767,0.628515
4.5,0.0303227,5.16169,0.156513,0.136929,0.706771
5.0,0.0303013,5.16168,0.156402,0.152079,0.784972
5.5,0.0301605,5.16167,0.155675,0.16716,0.86281
6.0,0.0301942,5.16168,0.155849,0.182257,0.940735
6.5,0.0301492,5.16166,0.155617,0.197331,1.01854
7.0,0.0301335,5.16169,0.155537,0.212398,1.09631
7.5,0.030227,5.1617,0.15602,0.227512,1.17432
8.0,0.0301857,5.16168,0.155806,0.242604,1.25222
8.5,0.0302002,5.16164,0.155879,0.257705,1.33016
9.0,0.0301947,5.16165,0.155851,0.272802,1.40809
9.5,0.030185,5.16161,0.1558,0.287894,1.48599
10.0,0.0301837,5.16159,0.155793,0.302986,1.56389
10.5,0.0300531,5.16152,0.155116,0.318013,1.64144
11.0,0.0300381,5.16155,0.15504,0.333032,1.71896
11.5,0.0300102,5.16159,0.154897,0.348037,1.79641
12.0,0.0300863,5.16151,0.155288,0.36308,1.87406
12.5,0.0301223,5.16153,0.155474,0.378141,1.95179
13.0,0.0301496,5.1615,0.155614,0.393216,2.0296
13.5,0.0300935,5.1615,0.155325,0.408263,2.10726
14.0,0.0301267,5.16151,0.155496,0.423326,2.18501
14.5,0.0300942,5.16156,0.15533,0.438373,2.26268
15.0,0.0300268,5.16154,0.154981,0.453387,2.34017
15.5,0.0299892,5.16151,0.154786,0.468381,2.41756
16.0,0.0299847,5.16144,0.154761,0.483374,2.49494
16.5,0.0299861,5.16145,0.154769,0.498367,2.57232
17.0,0.0300629,5.1615,0.155167,0.513398,2.64991
17.5,0.0300578,5.16149,0.15514,0.528427,2.72748
